timestamp,programme,ml_course,ir_course,stats_course,db_course,gender,used_llm,birth_year,room_estimate,stress,sports_hours,random_number,bedtime_hours,good_day_1,good_day_2
2026-03-31 12:20:13.511,Artificial Intelligence,yes,no,mu,no,non-binary,yes,2001.0,200.0,0.0,10.0,67.0,3.5,Pagga,Pagga
2026-03-31 12:20:18.530,Artificial Intelligence,yes,yes,mu,yes,male,no,1997.0,280.59316467261414,20.0,0.0,42.0,0.0,Sun,No rain
2026-03-31 12:20:19.922,Artificial Intelligence,yes,no,mu,yes,male,yes,2001.0,120.0,70.0,2.0,42.0,4.0,Productive Day,Indulging in Hobbies
2026-03-31 12:20:33.817,Bioinformatics and Systems Biology,yes,no,mu,yes,female,yes,1999.9015200365593,310.0,0.0,8.0,67.0,22.0,Social interactions,Good weather
2026-03-31 12:20:38.559,Artificial Intelligence,yes,yes,mu,yes,female,yes,2002.0,250.0,30.0,7.0,55.0,22.25,Sun,Sports
2026-03-31 12:20:42.687,Computational Science,no,yes,mu,yes,female,not willing to say,1999.0,198.65324232429404,10.0,5.0,45.0,21.0,good food,nice weather
2026-03-31 12:20:45.185,Business Analytics,yes,no,mu,no,male,yes,2002.0,110.0,10.0,7.0,4.0,23.0,Free time,Chilling with friends
2026-03-31 12:20:49.105,Computational Science,yes,no,mu,yes,male,yes,2001.0,140.0,1.0,2.0,87.0,3.0,productive improvements,talking with family and chilling by myself
2026-03-31 12:20:54.125,Business Analytics,yes,no,mu,no,female,not willing to say,1999.0,300.0,60.0,0.0,29.0,5.0,good weather,productive day
2026-03-31 12:20:55.182,Business Analytics,yes,no,mu,yes,female,yes,2003.0,200.0,80.0,4.0,4.0,1.0,Sunny weather,Fun activities planned
2026-03-31 12:20:56.668,Artificial Intelligence,yes,yes,mu,yes,male,yes,2001.4900912289042,180.0,60.0,5.668395546432969,30.0,23.0,Fun,More fun
2026-03-31 12:20:57.126,Artificial Intelligence,yes,no,mu,yes,male,yes,1999.0,90.0,60.0,2.0,11.0,3.0,Walking,Reading
2026-03-31 12:20:57.975,Computer Science,yes,yes,sigma,yes,male,yes,2000.3898305084747,192.89864864864865,47.53635761589404,4.2465753424657535,7.262164124909223e+34,8.45392156862745,Ice cream,2 Ice creams
2026-03-31 12:20:59.003,Business Analytics,yes,no,mu,no,female,yes,2001.0,110.0,40.0,3.0,18.0,0.5,Hangout with friends,Good food
2026-03-31 12:20:59.128,Computational Science,yes,no,mu,yes,male,yes,2000.0,250.0,48.63896012254218,3.8033712682482426,13.0,12.0,Food,Sunshine
2026-03-31 12:21:01.181,Finance / FinTech,yes,no,mu,yes,male,yes,2002.0,440.0,20.0,10.0,67.0,23.5,productive,time with friends
2026-03-31 12:21:01.327,Artificial Intelligence,yes,yes,mu,yes,male,yes,2000.3310223979722,250.0,67.0,3.0,67.0,3.0,A day with no homework,A sunny day
2026-03-31 12:21:02.021,Computer Science,yes,no,mu,yes,male,yes,1999.0,120.0,0.0,4.0,69.0,4.0,Being productive,Drinking
2026-03-31 12:21:07.039,Finance / FinTech,yes,yes,mu,yes,male,yes,2000.0,250.0,40.0,2.0,22.0,12.0,Beer,More beer
2026-03-31 12:21:07.612,Computer Science,yes,no,mu,yes,male,yes,2003.0,152.0,60.0,6.0,8765.0,2.0,Sunny outside,Money in my bank account
2026-03-31 12:21:08.797,Computer Science,yes,yes,sigma,yes,male,yes,1999.4318094476794,350.0,3.0,4.0,34.0,1.5,Sun,Good food
2026-03-31 12:21:09.688,Business Analytics,yes,no,mu,no,male,yes,2002.0,200.0,15.0,8.0,1475.0,23.0,No obligations,Nice weather
2026-03-31 12:21:09.831,Computer Science,yes,yes,mu,yes,male,no,2003.0,168.01257072032038,40.0,8.0,44.0,22.5,No lectures,Good weather
2026-03-31 12:21:12.807,Finance / FinTech,yes,no,mu,yes,female,not willing to say,2001.095052411457,82.0,80.0,3.0,13.0,11.0,Sunshine,A passing grade
2026-03-31 12:21:12.832,Computer Science,yes,no,mu,yes,male,not willing to say,2002.0,70.0,30.0,0.0,275.0,23.0,Something fun happened,Received a good grade
2026-03-31 12:21:12.876,Computer Science,no,yes,sigma,yes,female,yes,2002.0472654646526,150.0,30.0,6.0,9.0,12.0,Activity,Weather
2026-03-31 12:21:13.669,Artificial Intelligence,yes,no,mu,no,female,yes,1999.0,300.0,20.0,2.0,378.0,23.0,Having no obligations,Time for hobbies
2026-03-31 12:21:17.917,Business Analytics,yes,no,sigma,no,male,yes,2002.0,220.0,100.0,2.0,69.0,1.0,No stress,Progress
2026-03-31 12:21:18.670,Bioinformatics and Systems Biology,yes,yes,sigma,yes,female,yes,2002.0,300.0,65.0,3.0,111.0,0.08333333333333333,Sun,Chill
2026-03-31 12:21:19.215,Artificial Intelligence,yes,yes,mu,yes,male,yes,2001.005141923638,150.0,10.0,6.0,7.0,0.5,Sun,Weekend
2026-03-31 12:21:19.757,Computer Science,no,no,mu,yes,male,yes,2000.0,150.0,0.0,3.6899054056547627,33.0,19.0,Food,Fun
2026-03-31 12:21:20.349,Artificial Intelligence,yes,yes,sigma,yes,prefer-not-to-say,no,2002.0,67.0,80.0,1.467393943068922,67.0,6.116666666666666,Balkan breakfast,Gym
2026-03-31 12:21:20.483,Computer Science,yes,yes,mu,yes,female,not willing to say,2002.0,300.0,80.0,0.0,8.0,1.0,Good breakfast,Not rushing through the day
2026-03-31 12:21:20.520,Business Analytics,yes,no,sigma,yes,male,yes,2002.0,150.0,67.0,10.0,67.0,0.0,No uni,Nice weather
2026-03-31 12:21:21.878,Bioinformatics and Systems Biology,yes,yes,mu,yes,female,yes,2001.3668622908192,150.0,90.0,0.0,13.0,23.0,Alcohol,Cigarettes
2026-03-31 12:21:23.097,Business Analytics,yes,yes,mu,yes,male,yes,2001.0,70.0,55.0,3.0,67.0,2.0,Food,Games
2026-03-31 12:21:23.625,Finance / FinTech,yes,yes,mu,yes,female,yes,1999.5619744964322,120.0,10.0,5.0,4.0,0.8333333333333334,Weather,Food
2026-03-31 12:21:24.158,Computer Security,yes,no,mu,yes,gender-fluid,no,1976.0,67.0,67.0,1.317115895252408,67.0,6.116666666666666,Brreakfast around 6 or 7,Lunch at 16:07
2026-03-31 12:21:24.345,Data / Engineering,yes,yes,mu,yes,male,yes,2003.0,150.0,25.0,3.0,21.0,10.74203536654012,Peace,Won my sports parlay
2026-03-31 12:21:26.543,Computer Science,yes,yes,mu,yes,male,not willing to say,1993.1647533068854,70.0,69.96369138233663,0.0,67.0,5.0,Hotpot,Tiramisu
2026-03-31 12:21:26.686,MPA,no,no,mu,no,female,yes,2001.0,80.0,0.0,3.0,7.0,22.5,Sunny weather,An aesthetic pastry
2026-03-31 12:21:27.102,Computer Science,no,yes,mu,yes,male,no,1999.0,250.0,99.0,1.8591050338391546,47.0,2.0,Sunny day,No task
2026-03-31 12:21:27.716,Computational Science,no,no,mu,no,male,not willing to say,2001.8295568599865,211.0,40.0,6.0,2411.0,0.75,Sleep,Sport
2026-03-31 12:21:28.857,Msc,yes,no,mu,no,male,yes,2001.0,80.0,70.0,4.0,7.0,4.0,No stress,A lot of money
2026-03-31 12:21:29.732,Artificial Intelligence,yes,yes,mu,yes,male,yes,2000.0,270.0,15.0,8.0,16218.0,0.18333333333333332,Friends,Good weather
2026-03-31 12:21:29.982,Business Analytics,yes,yes,mu,yes,male,yes,2003.0,160.0,30.0,8.0,837.0,11.75,Doing a sport I like,Drinking beer
2026-03-31 12:21:31.096,Computer Science,yes,no,mu,yes,male,not willing to say,2003.0,420.0,38.0,6.0,69.0,2.0,Friends,Video games
2026-03-31 12:21:31.272,Computational Science,yes,no,mu,no,female,yes,1999.0,200.0,35.0,2.0,38.0,23.633333333333333,Lovely food,Having done something
2026-03-31 12:21:32.172,Business Analytics,yes,yes,mu,yes,female,yes,2003.0,363.0,10.0,2.0,46926.0,1.0,Interacting with friends,Cuddling with my cat
2026-03-31 12:21:32.551,Bioinformatics and Systems Biology,yes,no,mu,no,male,yes,2002.0,200.0,35.0,7.0,22.0,23.833333333333332,Productivity,Beer
2026-03-31 12:21:32.778,Econometrics / Data Science,no,yes,mu,no,male,yes,2000.0,130.0,30.0,8.0,50.0,22.666666666666668,Coffee,Good nights rest
2026-03-31 12:21:34.015,Computer Science,yes,yes,mu,yes,female,yes,2002.0,200.0,75.0,5.0,88.0,23.0,Good food,Good sleep
2026-03-31 12:21:34.745,Artificial Intelligence,yes,no,sigma,yes,male,yes,2001.0,150.0,50.0,4.0,86.0,0.5,friends,food
2026-03-31 12:21:35.379,Bioinformatics and Systems Biology,yes,no,mu,no,male,yes,2003.0,125.0,30.0,7.0,823.0,3.0,Doing sports,Having good wather
2026-03-31 12:21:35.670,Artificial Intelligence,yes,no,mu,yes,male,not willing to say,1999.0,250.0,30.0,2.0,76.44,1.0,Payday,Food
2026-03-31 12:21:36.116,Econometrics / Data Science,yes,no,sigma,yes,female,yes,2002.0000000000002,324.0,69.74291052477224,6.0,0.0,23.2,Having class,Seeing the sun
2026-03-31 12:21:36.278,Data / Engineering,yes,no,mu,yes,male,not willing to say,1999.0,100.0,50.0,2.0,35.0,11.0,Eat well,Spend time well
2026-03-31 12:21:36.772,Business Analytics,yes,yes,mu,yes,female,yes,2001.6303486786355,200.0,20.0,3.0,123.0,10.666666666666666,Food,Sunshine
2026-03-31 12:21:37.000,Artificial Intelligence,yes,no,mu,yes,female,yes,2002.0,350.0,85.0,10.0,15.0,0.5,sleep,sun
2026-03-31 12:21:37.389,Artificial Intelligence,yes,no,mu,no,male,yes,2002.0,150.0,20.0,8.0,14.0,23.5,Sun is shining,Meeting with friends
2026-03-31 12:21:38.057,Computer Science,no,no,mu,no,female,yes,1998.89415801588,120.0,2.0,0.0,16.0,23.0,Tasty food,Sport
2026-03-31 12:21:38.365,Computational Science,yes,yes,mu,no,female,no,1995.0,250.0,50.0,10.0,7.0,0.2,Pedicure,Facial
2026-03-31 12:21:38.510,Artificial Intelligence,yes,yes,mu,no,female,yes,2001.0,200.0,20.0,4.0,12.0,3.0,Food,My people
2026-03-31 12:21:38.692,Artificial Intelligence,yes,no,mu,yes,female,yes,2003.0,250.0,20.0,10.0,437.0,23.5,Having nice plans,Good weather
2026-03-31 12:21:39.133,Artificial Intelligence,yes,yes,mu,yes,female,no,2002.0,240.0,10.0,6.0,16.0,0.5666666666666667,Sun,Good food
2026-03-31 12:21:39.384,Data / Engineering,no,yes,mu,yes,male,not willing to say,1998.4867468628545,119.07264159945106,75.0,2.0,69.0,3.0,Less work,Travelling
2026-03-31 12:21:39.951,Artificial Intelligence,yes,yes,mu,no,male,yes,1999.0,300.0,10.0,1.0,1.111111111111111e+37,17.0,Eating,Sleeping
2026-03-31 12:21:42.009,Artificial Intelligence,yes,yes,mu,no,female,yes,2002.6553798086136,259.5525858455429,50.0,0.0,76625.0,2.0,Good food,Good sleep
2026-03-31 12:21:42.922,MPA,yes,no,mu,yes,female,yes,2003.0,112.0,84.0,7.0,4.0,1.5,Good food,Seeing friends
2026-03-31 12:21:44.083,Artificial Intelligence,yes,no,mu,no,female,yes,2001.5098692977888,150.0,45.0,4.0,83.0,23.0,Being productive,A good dinner
2026-03-31 12:21:44.207,Artificial Intelligence,yes,yes,sigma,yes,male,yes,2003.0,150.0,0.0,8.0,67.0,0.0,Beer,Sun
2026-03-31 12:21:45.357,Business Analytics,yes,no,sigma,yes,female,yes,2003.2593126000559,220.0,60.0,5.0,616.0,0.75,Sun,Coffee
2026-03-31 12:21:45.968,Artificial Intelligence,yes,no,mu,yes,female,yes,2001.0,70.0,80.0,0.0,26.0,2.0,"No deadlines/exams/work, able to allocate time freely","Sleep in, nice weather outside, meeting friends, travel and party"
2026-03-31 12:21:46.202,Business Analytics,yes,yes,sigma,yes,female,no,1997.702374954758,215.0,43.0,2.0,54.0,1.75,Yummy food,Being around people I like
2026-03-31 12:21:46.672,Computer Science,yes,yes,mu,yes,male,yes,2001.0,161.0,27.0,3.2,2.222222222222222e+36,10.65,Have activities to do,Have little stress
2026-03-31 12:21:47.149,Artificial Intelligence,no,no,mu,yes,male,not willing to say,2001.699537638281,169.0,69.0,6.0,314159265.0,3.0,Cake,Alcohol
2026-03-31 12:21:47.169,Computer Science,no,no,mu,yes,male,yes,1999.2696933879527,350.0,10.0,12.0,42.0,1.0,Cats,Stroopwaffel
2026-03-31 12:21:48.497,Computer Science,yes,yes,mu,yes,male,yes,2000.0,200.0,89.0,0.0,99.0,4.0,having made a good amount of money,feeling at peace and not having any stress
