feature,gain
orig_destination_distance,45389.74412107468
review_z,50636.92631530762
review_rank_pct,53989.13525533676
dest_star_score,55558.36433839798
star_rank_pct,66838.33853340149
star_z,79080.38545036316
prop_location_score1,80228.65133571625
price_usd_log,89049.61025762558
loc2_z,94418.71799898148
price_rank_pct,117683.11914348602
loc2_rank_pct,126072.52749824524
dest_popularity,127921.66325092316
hist_price_z,136419.08628320694
prop_mean_position,144435.90866470337
prop_book_rate,152252.6234998703
price_log_z,154289.36386919022
prop_ctr,215680.80615663528
random_bool,255170.5261106491
prop_location_score2,367871.0554227829
dest_prop_score,515637.8990597725
